sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target
8.24593353935239,7.673915009774396,8.367238917527906,4.3542905741640325,1
8.16937143152153,6.480583038166599,7.155107827724838,3.105098620086719,1
8.190175881021919,5.789624375462739,9.4358883387122,3.3796176615508564,1
7.709503273269281,7.178189137634634,5.721869373218157,3.9905895182745343,1
9.1891119997759,7.798506824528184,7.385226208954247,2.8181709695967316,1
11.411517160233164,7.239753489442942,8.091454348783882,4.966417020576245,1
9.95391180511905,4.7082534871952415,6.773319142419258,4.3702909724467265,1
10.127803890463582,5.330568862230667,8.061443900500734,3.684374389078216,1
8.605834319457184,5.499268195400159,7.2453750188626715,2.5209314593880627,1
9.969921046060453,7.404782800631854,8.225646404087232,4.003707644265173,1
8.517771406725426,4.106158605112935,7.710159602166238,5.30515762225875,1
6.720574646420543,5.636954932224588,7.955076732541218,4.849389552615489,1
8.106456273395503,6.542585740403085,9.12754063431511,3.886179530381135,1
7.715539708504806,5.396397599881656,7.070627021347779,5.541379703265055,1
9.741341774932504,3.637823949565482,7.1305739140055895,5.393330963831174,1
10.909067488830186,6.102738262281526,8.259125650491994,6.38255880592803,1
10.277837574061477,4.8134227076055645,7.224900828997967,3.027342646213996,1
9.00808043599476,5.18816596264241,8.150672464069316,4.490760908733327,1
8.138791969782096,6.553933263647869,6.429676820651209,4.350472143862512,1
8.943606301176949,4.885739558647078,7.312931426393542,4.4370744961166615,1
8.95502698383729,6.938220375289722,6.550115701014051,4.621742839979165,1
8.947234578368008,5.427371771260599,7.875097154625342,4.762461992751988,1
8.357516413656223,3.946900350414444,8.02001951937239,4.285592278718161,1
8.368475766158433,4.881587711889418,7.435573886014421,4.011331289356928,1
10.0893415035393,7.531683527648113,8.072733142231943,5.887266736751524,1
9.786087471918343,7.794225570328978,6.926721442627338,4.579013770626295,1
9.378324355425837,5.830371436472526,6.549660474226119,4.30394719846308,1
8.190683843686628,5.691468423153136,7.346620841355779,4.432263851809807,1
6.705237924532575,4.766233418647817,6.6428922432120725,3.9173323711646812,1
8.730624797485813,6.1612041150541685,7.688304688383906,5.039374022451605,1
8.18122542039128,5.151450371395954,6.397333927229388,4.464272256220228,1
9.314975105500245,5.54740059359696,7.719503593257689,5.269624879890482,1
6.332137129456438,5.796458011249485,5.07111674622806,2.498961985745505,1
10.45451540804985,4.998870184703705,7.739674890449322,5.971985507389014,1
10.168263249379187,5.627202558588296,7.299239044490417,3.452064195423043,1
8.548317826136943,5.448826827139445,5.5456804757486164,4.365307186916032,1
7.552701170058407,7.762605655185665,6.628859968704138,4.5436500961576325,1
6.682971579641414,4.643786592649981,5.862642965690359,4.152108560063175,1
10.453586902537536,6.122104470124047,8.495700466167566,6.137934459437881,1
12.222298855007427,4.238440390817015,8.735474032718743,4.983285739217825,2
8.965643332196493,3.9802014727830173,8.306465213612633,6.68633860974839,2
10.616917243224027,6.400267706483554,9.199082723413445,4.0751705145998525,2
6.433792836572545,5.7595702134540785,7.246744775603538,4.438329147202256,2
9.560186839084443,6.4702233069470605,7.68041618131603,3.8700411601123808,2
10.68171932822603,5.010853485500669,9.770852891262994,6.240202233383798,2
7.68894621650363,5.299071485435341,6.251719686803078,6.456710732544186,2
9.3405159043215,6.490590723015016,8.414739619142004,3.6165153305242796,2
7.542949671775356,5.231896880244954,7.635466653904402,5.171762173269109,2
10.853799670933014,6.465482236340531,7.5458626366629105,4.592630547624815,2
9.070328511099204,8.365498845002438,7.2012100416944484,3.8229690001844836,2
10.235504352700094,6.414739865561489,8.159053943518796,4.286078765889961,2
9.41675471649154,4.521038168652263,9.328602468566412,5.244893514657541,2
8.340296626141477,6.62534841151578,7.280390667289687,4.736081343057951,2
8.656785096752571,7.896040195567196,6.733874954764614,5.080594886638407,2
8.5785235761334,6.393085317823392,8.223333766904016,6.854039775601616,2
10.450372702123445,4.9218603112949495,7.2921416401024315,4.973187765514176,2
9.961967639596981,6.701929472025389,10.093101115962803,4.850697122485567,2
10.60831995490045,3.1926358556479633,10.205917987539246,6.302423492655316,2
7.914905326677815,6.231449277505274,8.446027914378739,5.225104727692821,2
11.269111823751913,6.315482903422192,9.763964485108495,6.016124841675053,2
7.121036147291341,5.574660971223807,8.298052270371084,6.0976104237261755,2
10.961773630000463,7.656798502086787,7.9909556843628256,4.219885160251721,2
9.13426057535179,4.560427702611894,7.999383708889098,5.411748314726734,2
11.99747202747471,7.004730897639208,6.856422998135795,5.921610970456873,2
10.701646082968887,7.01680875551234,8.611259229155184,2.4448024715508403,2
8.739600679233916,5.342073203227733,7.5656432648657335,5.2736935852665185,2
9.956193096344657,5.894955133341709,7.162711733053872,6.2110980092114465,2
7.918881149904867,5.569860540453412,8.628200876705336,3.079486666866285,2
9.847725700211878,5.55613923312277,9.222129384098217,6.4753175396378175,2
10.476522917022441,5.032933384695419,9.633041431236235,6.369012640132741,2
12.163951865251512,6.348120062811507,8.463103855510834,5.679765302622408,2
10.11229700450668,5.267232936039893,6.709149408303485,4.17546520003831,2
9.931308749302449,7.01767981853122,9.954713369861675,4.649820837344482,2
9.8418698947601,5.374013808958793,7.8946774954316155,4.637785008278094,2
11.992290679713117,6.341808826477141,9.872187088708221,5.266909647441305,2
8.753840267383344,7.2306057352528175,8.386509124840812,4.486322892483129,2
9.82301994884934,4.99605732632927,8.573655677616467,5.966769996525065,2
9.792294829838085,6.4935707647940655,7.298158833123448,4.4868551622125485,2
10.503594648862034,6.2226106271850945,7.708523050576502,4.229077772774467,2
10.71377208471689,6.874205456061788,10.402050534185694,5.463480287070967,2
10.53585733236368,4.925667910576796,9.13095732258375,6.229733832480992,2
10.070864129214197,6.859726488623536,7.827120743926419,5.086264117095308,2
9.77641507920056,6.001574598967275,9.304957111273495,4.14029424423614,2
10.894224121344823,6.265268948616793,8.947517320564684,7.041920832071276,2
7.431891069525312,5.7759592004119265,8.404308831334772,6.382253533235677,2
9.45628257240375,6.108094544947581,7.480514521330854,5.553773665836951,2
9.076536584592398,6.208402161278351,8.076860821298782,7.563487261712748,2
10.070669829277087,4.423231251879574,7.38617938834077,5.706143692773654,2
9.380531594988618,6.497684085472455,8.051529120739671,3.6926675848000934,2
